CodeInsee;Gagnant
64045;LASSALLE
65026;MÉLENCHON
81017;MACRON
9015;MÉLENCHON
39016;LE PEN
73020;MÉLENCHON
40009;MÉLENCHON
63010;LE PEN
39017;LE PEN
7014;FILLON
43008;FILLON
13004;LE PEN
66009;MÉLENCHON
43009;MÉLENCHON
58010;LE PEN
59015;LE PEN
62039;LE PEN
31017;LE PEN
49010;FILLON
60023;MACRON
80027;FILLON
54021;LE PEN
59016;LE PEN
89018;LE PEN
64046;FILLON
59017;LE PEN
77008;FILLON
27019;LE PEN
2023;LE PEN
32008;MÉLENCHON
58011;LE PEN
47014;LE PEN
11014;LE PEN
1019;LE PEN
32009;LE PEN
74020;FILLON
15011;FILLON
87003;MÉLENCHON
19011;MACRON
12009;FILLON
72008;FILLON
52019;LE PEN
69013;LE PEN
31018;MÉLENCHON
9016;MÉLENCHON
54022;LE PEN
21023;LE PEN
26012;MACRON
21024;FILLON
65028;LE PEN
64047;FILLON
59018;LE PEN
8021;LE PEN
27020;MACRON
64048;MACRON
95019;MÉLENCHON
78020;FILLON
88013;LE PEN
39018;LE PEN
53008;MACRON
64049;MACRON
70028;FILLON
30014;LE PEN
91021;MACRON
15012;MACRON
26013;MÉLENCHON
70029;LE PEN
18013;LE PEN
36008;LE PEN
3007;LE PEN
30015;MÉLENCHON
53009;FILLON
11015;LE PEN
12010;FILLON
62040;LE PEN
76026;LE PEN
11016;LE PEN
80028;LE PEN
58012;LE PEN
54023;FILLON
56003;MACRON
57027;LE PEN
91022;LE PEN
2024;LE PEN
55013;LE PEN
21025;MACRON
62041;MACRON
65029;MÉLENCHON
7015;LE PEN
64050;LASSALLE
64051;LASSALLE
54024;LE PEN
65247;LE PEN
30016;LE PEN
65031;MACRON
10009;FILLON
10010;FILLON
23006;MACRON
65032;MACRON
88014;LE PEN
10011;FILLON
80029;LE PEN
8022;LE PEN
57029;LE PEN
64052;MACRON
64053;LE PEN
9017;MÉLENCHON
30017;MÉLENCHON
51016;LE PEN
65034;MACRON
65033;LE PEN
14021;FILLON
3008;LE PEN
95023;FILLON
64054;MACRON
64056;MACRON
32010;MÉLENCHON
9018;MÉLENCHON
57030;LE PEN
80030;LE PEN
16018;LE PEN
23007;MACRON
33012;MACRON
43010;MACRON
40011;MÉLENCHON
70030;LE PEN
17019;FILLON
57031;MACRON
63011;MÉLENCHON
10012;LE PEN
1021;FILLON
57032;LE PEN
39020;FILLON
39019;LE PEN
60024;LE PEN
65035;LE PEN
8023;LE PEN
71012;LE PEN
65036;MACRON
37006;MACRON
49011;LE PEN
38015;LE PEN
40012;FILLON
1022;LE PEN
2025;LE PEN
45008;LE PEN
74021;FILLON
58013;FILLON
26014;LE PEN
17020;FILLON
81018;MACRON
40013;LE PEN
64058;LE PEN
64057;MACRON
72009;FILLON
95024;LE PEN
36009;LE PEN
89019;LE PEN
42009;LE PEN
9019;MÉLENCHON
83005;LE PEN
31019;MACRON
64059;MACRON
64060;MACRON
65037;MACRON
9020;MÉLENCHON
11017;LE PEN
65038;MÉLENCHON
83006;LE PEN
33013;MACRON
41004;LE PEN
9021;MÉLENCHON
64061;MÉLENCHON
67011;LE PEN
63012;MACRON
59019;LE PEN
54025;LE PEN
68009;LE PEN
64062;MÉLENCHON
40014;MACRON
17021;LE PEN
33015;MACRON
12011;MACRON
5007;MACRON
9022;LE PEN
73021;LE PEN
41005;FILLON
77009;LE PEN
80031;LE PEN
40015;MACRON
64063;MACRON
56004;FILLON
29002;MACRON
38016;LE PEN
58014;LE PEN
48007;FILLON
48008;MACRON
11018;LE PEN
51017;LE PEN
56005;FILLON
57033;LE PEN
64064;LASSALLE
64065;FILLON
64066;MACRON
67012;LE PEN
45009;LE PEN
9023;MACRON
45010;LE PEN
6005;FILLON
8024;LE PEN
86010;MÉLENCHON
58015;LE PEN
39022;LE PEN
14022;LE PEN
27021;LE PEN
14023;FILLON
21026;LE PEN
79015;MACRON
17022;LE PEN
21027;FILLON
89020;MÉLENCHON
86011;LE PEN
16019;MACRON
95026;LE PEN
1023;LE PEN
92004;MACRON
72010;FILLON
58016;FILLON
86012;LE PEN
57034;LE PEN
68010;LE PEN
68011;LE PEN
68012;LE PEN
30018;MACRON
7016;MÉLENCHON
31020;MACRON
65039;MACRON
65040;MÉLENCHON
34013;LE PEN
5008;LE PEN
6006;FILLON
5009;MACRON
5010;LE PEN
31021;MACRON
12012;MÉLENCHON
65041;MACRON
33016;MÉLENCHON
82004;LE PEN
89021;MÉLENCHON
81019;FILLON
80032;LE PEN
79016;LE PEN
34014;MACRON
64067;MACRON
37007;FILLON
53010;LE PEN
72011;FILLON
72012;FILLON
10013;LE PEN
10014;LE PEN
57035;DUPONT-AIGNAN
44006;MACRON
59021;LE PEN
80033;LE PEN
46009;MÉLENCHON
38017;LE PEN
34015;FILLON
18014;LE PEN
7017;MÉLENCHON
2027;LE PEN
64068;MACRON
67013;LE PEN
47015;LE PEN
19012;MACRON
65042;MÉLENCHON
