codegeo;libgeo;Gagnant;pop1-0;nb_ecoles_publique1-0;nb_ecoles_publique/pop1-0;nb_ecoles_prive1-0;nb/ecoles_prive/pop1-0;nb_ecoles_totale1-0;nb_ecoles_totale/pop1-0;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021  1-0;somme_tauxpourmille_crime 1-0;Taux_Chomage 1-0;Points;Points 0-1
22113;Lannion;MACRON;0,000991622;0;0,012515239;0;0;0,003558719;0,009101992;0;0,004863016;0,117508813;0,144980682;0,053598001
22114;Lanrelas;FILLON;0,000464993;0;0,026675597;0;0;0,003558719;0,019400434;0;0,004857813;0,101057579;0,152456416;0,05636171
22115;Lanrivain;MÉLENCHON;0,000713351;0;0,01739419;0;0;0,003558719;0,01265032;0;0,004855691;0,132784959;0,168398511;0,062255354
22116;Lanrodec;LE PEN;0,000464539;0;0,026701596;0;0;0,003558719;0,019419342;0;0,00484986;0,065804935;0,117240272;0,043342631
22117;Lantic;MACRON;0,00050986;0;0,024330212;0;0;0,003558719;0,0176947;0,071;0,00484967;0,159811986;0,278196428;0,102846616
22118;Lanvallay;MACRON;0,000460007;0;0,026964404;0;0;0,003558719;0,019610475;0;0,004849267;0,24559342;0,297477573;0,109974675
22119;Lanvellec;MÉLENCHON;0,000453209;0;0,027368465;0;0;0,003558719;0,019904338;0;0,004844432;0,239717979;0,292288423;0,108056295
22121;Lanvollon;MACRON;0,000588265;0;0,021089943;0;0;0,003558719;0,01533814;0;0,004837549;0,177438308;0,219292205;0,081070276
22122;Laurenan;LE PEN;0,001333341;0;0,009308803;0,018518519;0,024823474;0,007117438;0,013540097;0;0,004835374;0,10693302;0,185597583;0,06861369
22124;Lescouët-Gouarec;MÉLENCHON;0,000769549;0;0,016124694;0;0;0,003558719;0,01172705;0,029;0,00483451;0,211515864;0,273971667;0,101284761
22126;Le Leslay;MÉLENCHON;0,00066803;0;0,018573444;0;0;0,003558719;0,013507959;0;0,004830283;0,109283196;0,146862912;0,054293844
22127;Lézardrieux;FILLON;0,000589172;0;0,021057533;0;0;0,003558719;0,01531457;0;0,004827586;0,197414806;0,239203667;0,088431357
22128;Locarn;FILLON;0,001086795;0;0,011419679;0;0;0,003558719;0,008305221;0;0,004826691;0,094007051;0,119645437;0,044231798
22129;Loc-Envel;MÉLENCHON;0,000457741;0;0,027097767;0;0;0,003558719;0,019707467;0;0,004825189;0,130434783;0,182522947;0,067477025
22131;Loguivy-Plougras;MÉLENCHON;0,000977119;0;0,0127009;0;0;0,003558719;0,009237018;0;0,004824159;0,223266745;0,251005941;0,092794547
22132;Lohuec;FILLON;0,000653528;0;0,01898534;0;0;0,003558719;0,01380752;0;0,004821229;0,158636898;0,196904515;0,072793756
22133;Loscouët-sur-Meu;LE PEN;0,000698395;0;0,017766417;0;0;0,003558719;0,012921031;0;0,00481984;0,143360752;0,179566435;0,066384031
22134;Louannec;MACRON;0,000643104;0;0,019292831;0;0;0,003558719;0,01403115;0;0,004819376;0,119858989;0,15864545;0,058649738
22135;Louargat;MÉLENCHON;0,000413327;0;0,030006382;0;0;0,003558719;0,021822824;0;0,004817057;0,091656874;0,148716464;0,054979085
