codegeo;libgeo;nb_ecoles_publique;nb_ecoles_prive;nb_ecoles_totale;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021;somme_tauxpourmille;Gagnant
89328;Rouvray;1.0;0.0;1.0;0;0.0;LE PEN
89329;Rugny;0.0;0.0;0.0;0;0.0;LE PEN
89331;Sainpuits;0.0;0.0;0.0;0;0.0;MACRON
89332;Saint-Agnan;1.0;0.0;1.0;0;0.0;LE PEN
89333;Saint-André-en-Terre-Plaine;0.0;0.0;0.0;0;0.0;MACRON
89334;Le Val d'Ocre;1.0;0.0;1.0;0;0.0;LE PEN
89335;Saint-Aubin-sur-Yonne;0.0;0.0;0.0;0;0.0;LE PEN
89336;Saint-Brancher;0.0;0.0;0.0;17,9;0.0;LE PEN
89337;Saint-Bris-le-Vineux;1.0;0.0;1.0;0;16.4522056229343;FILLON
89338;Saint-Clément;1.0;0.0;1.0;0;59.14194950688959;LE PEN
89339;Sainte-Colombe;0.0;0.0;0.0;0;0.0;MACRON
89341;Saint-Cyr-les-Colons;1.0;0.0;1.0;12,4;0.0;LE PEN
89342;Saint-Denis-lès-Sens;1.0;0.0;1.0;0;96.0244633310257;MACRON
89344;Saint-Fargeau;1.0;0.0;1.0;1,5;52.300882970442665;LE PEN
89345;Saint-Florentin;2.0;0.0;2.0;0;96.53962753653283;LE PEN
89346;Saint-Georges-sur-Baulche;1.0;0.0;1.0;0;28.37379588407836;FILLON
89347;Saint-Germain-des-Champs;0.0;0.0;0.0;4;0.0;FILLON
89348;Saint-Julien-du-Sault;1.0;0.0;1.0;0;46.593671513598586;LE PEN
89349;Saint-Léger-Vauban;0.0;0.0;0.0;100;0.0;FILLON
89350;Saint-Loup-d'Ordon;0.0;0.0;0.0;0;0.0;LE PEN
89351;Sainte-Magnance;1.0;0.0;1.0;12,1;0.0;LE PEN
89352;Saint-Martin-des-Champs;0.0;0.0;0.0;14,5;0.0;LE PEN
89353;Saint-Martin-d'Ordon;1.0;0.0;1.0;0;0.0;LE PEN
89354;Saint-Martin-du-Tertre;1.0;0.0;1.0;0;7.678171637180752;LE PEN
89355;Saint-Martin-sur-Armançon;0.0;0.0;0.0;0;0.0;LE PEN
89359;Saint-Maurice-aux-Riches-Hommes;0.0;0.0;0.0;0;0.0;LE PEN
89360;Saint-Maurice-le-Vieil;1.0;0.0;1.0;0;0.0;LE PEN
89361;Saint-Maurice-Thizouaille;1.0;0.0;1.0;0;0.0;LE PEN
89362;Saint-Moré;0.0;0.0;0.0;3,2;0.0;LE PEN
89363;Sainte-Pallaye;0.0;0.0;0.0;0;0.0;LE PEN
89364;Saint-Père;1.0;0.0;1.0;0;0.0;MÉLENCHON
89365;Saint-Privé;1.0;0.0;1.0;4;0.0;LE PEN
89367;Saints-en-Puisaye;1.0;0.0;1.0;0;0.0;LE PEN
89368;Saint-Sauveur-en-Puisaye;1.0;0.0;1.0;0;80.585022911305;LE PEN
89369;Saint-Sérotin;1.0;0.0;1.0;0;0.0;LE PEN
89370;Saint-Valérien;1.0;0.0;1.0;0;19.702189283584637;LE PEN
89371;Sainte-Vertu;0.0;0.0;0.0;0;0.0;FILLON
89373;Saligny;1.0;0.0;1.0;0;0.0;LE PEN
89374;Sambourg;0.0;0.0;0.0;0;0.0;MÉLENCHON
89375;Santigny;0.0;0.0;0.0;0;0.0;FILLON
89376;Sarry;0.0;0.0;0.0;0;0.0;LE PEN
89377;Sauvigny-le-Beuréal;0.0;0.0;0.0;20,8;0.0;LE PEN
89378;Sauvigny-le-Bois;2.0;0.0;2.0;0;0.0;LE PEN
89379;Savigny-en-Terre-Plaine;0.0;0.0;0.0;0;0.0;MACRON
89380;Savigny-sur-Clairis;0.0;0.0;0.0;5,4;0.0;FILLON
89382;Seignelay;1.0;0.0;1.0;0;16.529875238997953;LE PEN
89383;Sementron;0.0;0.0;0.0;0;0.0;FILLON
89384;Senan;1.0;0.0;1.0;0,6;18.70274818416917;LE PEN
89385;Sennevoy-le-Bas;0.0;0.0;0.0;0;0.0;FILLON
89386;Sennevoy-le-Haut;0.0;0.0;0.0;0;0.0;LE PEN
89387;Sens;10.0;2.0;12.0;0;133.37223556653132;FILLON
89388;Sépeaux-Saint Romain;1.0;0.0;1.0;3,3;0.0;LE PEN
89390;Serbonnes;1.0;0.0;1.0;0;0.0;LE PEN
89391;Sergines;1.0;0.0;1.0;0;18.747318747318747;LE PEN
89392;Sermizelles;0.0;0.0;0.0;0;0.0;LE PEN
89393;Serrigny;0.0;0.0;0.0;0;0.0;MACRON
89394;Sery;0.0;0.0;0.0;44,7;0.0;LE PEN
89395;Les Sièges;1.0;0.0;1.0;0;0.0;LE PEN
89397;Sommecaise;0.0;0.0;0.0;3,8;0.0;LE PEN
89398;Sormery;1.0;0.0;1.0;2,6;0.0;LE PEN
89399;Soucy;1.0;0.0;1.0;0,6;3.1746031746031744;LE PEN
89400;Sougères-en-Puisaye;1.0;0.0;1.0;0;0.0;LE PEN
89402;Soumaintrain;0.0;0.0;0.0;0;0.0;LE PEN
89403;Stigny;0.0;0.0;0.0;0;0.0;MACRON
89404;Subligny;1.0;0.0;1.0;0;0.0;LE PEN
89405;Les Hauts de Forterre;0.0;0.0;0.0;0;0.0;LE PEN
